ID,BTC_Rate,BTC_Balance,DOLLAR_Cost,PHP_Balance,Profit_Or_Loss,PH_Currency,BTC_Predict
1,20590.13,0.00032901,6.77,381.71,0,56.35,0
2,20590.13,0.00032901,6.77,381.71,0.25,56.35,20590.13
3,20590.13,0.00032901,6.77,381.71,0.25,56.35,20590.13
4,20588.8,0.00032901,6.77,381.68,0.22,56.35,20590.13
5,20590.04,0.00032901,6.77,381.7,0.24,56.35,20589.8
6,20590.04,0.00032901,6.77,381.7,0.24,56.35,20589.85
7,20590.04,0.00032901,6.77,381.7,0.24,56.35,20589.88
8,20590.04,0.00032901,6.77,381.7,0.24,56.35,20589.9
9,20611.76,0.00032901,6.77,382.11,0.65,56.35,20589.92
10,20611.76,0.00032901,6.77,382.11,0.65,56.35,20592.35
11,20611.67,0.00032901,6.77,382.1,0.64,56.35,20594.29
12,20611.67,0.00032901,6.77,382.1,0.64,56.35,20595.87
13,20611.67,0.00032901,6.77,382.1,0.64,56.35,20597.18
14,20611.67,0.00032901,6.77,382.1,0.64,56.35,20598.3
15,20628.27,0.00032901,6.77,382.41,0.95,56.35,20599.25
16,20629.87,0.00032901,6.77,382.44,0.98,56.35,20601.19
17,20629.87,0.00032901,6.77,382.44,0.98,56.35,20602.98
18,20624.38,0.00032901,6.77,382.34,0.88,56.35,20604.56
19,20624.38,0.00032901,6.77,382.34,0.88,56.35,20605.66
20,20635.59,0.00032901,6.77,382.55,1.09,56.35,20606.65
21,20635.69,0.00032901,6.77,382.55,1.09,56.35,20608.1
22,20635.69,0.00032901,6.77,382.55,1.09,56.35,20609.41
23,20628.64,0.00032901,6.77,382.42,0.96,56.35,20610.6
24,20628.64,0.00032901,6.77,382.42,0.96,56.35,20611.39
25,20617.89,0.00032901,6.77,382.22,0.76,56.35,20612.11
26,20617.89,0.00032901,6.77,382.22,0.76,56.35,20612.34
27,20617.89,0.00032901,6.77,382.22,0.76,56.35,20612.55
28,20622.39,0.00032901,6.77,382.3,0.84,56.35,20612.75
29,20622.39,0.00032901,6.77,382.3,0.84,56.35,20613.09
30,20622.39,0.00032901,6.77,382.3,0.84,56.35,20613.41
31,20622.39,0.00032901,6.77,382.3,0.84,56.35,20613.71
32,20622.39,0.00032901,6.77,382.3,0.84,56.35,20613.99
33,20612.73,0.00032901,6.77,382.12,0.66,56.35,20614.26
34,20634.91,0.00032901,6.77,382.54,1.08,56.35,20614.21
35,20634.91,0.00032901,6.77,382.54,1.08,56.35,20614.82
36,20634.91,0.00032901,6.77,382.54,1.08,56.35,20615.39
37,20640.34,0.00032901,6.77,382.64,1.18,56.35,20615.93
38,20625.89,0.00032901,6.77,382.37,0.91,56.35,20616.59
39,20625.89,0.00032901,6.77,382.37,0.91,56.35,20616.84
40,20625.89,0.00032899,6.77,382.37,0.91,56.35,20617.07
41,20639.86,0.00032899,6.77,382.6,1.14,56.35,20617.29
42,20781.49,0.00032899,6.77,385.23,3.77,56.35,20617.84
43,20781.49,0.00032896,6.77,385.23,3.77,56.35,20621.74
44,20787.58,0.00032896,6.77,385.31,3.85,56.35,20625.45
45,20820.77,0.00032896,6.77,385.92,4.46,56.35,20629.14
46,20820.77,0.00032896,6.77,385.92,4.46,56.35,20633.4
47,20820.77,0.00032896,6.77,385.92,4.46,56.35,20637.47
48,20809.41,0.00032896,6.77,385.71,4.25,56.35,20641.37
49,20810.09,0.00032896,6.77,385.72,4.26,56.35,20644.87
50,20810.09,0.00032896,6.77,385.72,4.26,56.35,20648.24
51,20810.09,0.00032896,6.77,385.72,4.26,56.35,20651.48
52,20810.09,0.00032896,6.77,385.72,4.26,56.35,20654.59
53,20810.09,0.00032896,6.77,385.72,4.26,56.35,20657.58
54,20810.09,0.00032896,6.77,385.72,4.26,56.35,20660.46
55,20830.46,0.00032896,6.77,386.1,4.64,56.35,20663.23
56,20830.46,0.00032889,6.77,386.1,4.64,56.35,20666.27
57,20850.19,0.00032889,6.77,386.39,4.93,56.35,20669.2
